LAMMPS Description

1000 atoms
999 bonds

1 atom types
1 bond types

0.0 30.0 xlo xhi
0.0 30.0 ylo yhi
0.0 30.0 zlo zhi

Masses

1 1.0

Atoms

1 1 1 6.402 10.886 22.923
2 1 1 6.005 10.463 23.688
3 1 1 5.249 10.431 23.098
4 1 1 5.232 10.441 24.058
5 1 1 4.778 10.469 24.903
6 1 1 5.514 11.056 25.093
7 1 1 5.706 11.101 26.032
8 1 1 6.091 10.281 26.350
9 1 1 6.171 10.743 25.512
10 1 1 6.022 10.775 24.564
11 1 1 6.537 9.980 24.717
12 1 1 6.530 9.937 25.676
13 1 1 6.437 9.164 26.237
14 1 1 7.310 9.341 25.878
15 1 1 6.847 9.739 26.619
16 1 1 7.524 9.801 27.296
17 1 1 7.614 9.197 28.037
18 1 1 6.842 9.403 28.570
19 1 1 6.590 10.192 29.054
20 1 1 6.402 9.328 29.427
21 1 1 5.638 9.620 28.924
22 1 1 5.502 9.613 29.874
23 1 1 4.685 9.781 29.399
24 1 1 5.082 9.075 28.884
25 1 1 5.078 8.967 27.930
26 1 1 5.552 9.799 27.996
27 1 1 5.549 9.816 27.036
28 1 1 4.639 10.018 26.806
29 1 1 5.024 9.372 26.209
30 1 1 4.375 9.439 25.505
31 1 1 4.665 9.438 24.589
32 1 1 5.543 9.435 24.977
33 1 1 5.334 9.421 24.040
34 1 1 5.960 9.459 23.314
35 1 1 5.566 9.453 22.439
36 1 1 6.153 8.710 22.599
37 1 1 6.155 8.707 23.559
38 1 1 5.655 7.958 23.227
39 1 1 4.967 7.357 23.522
40 1 1 4.047 7.086 23.567
41 1 1 4.007 6.494 24.322
42 1 1 3.958 6.664 25.265
43 1 1 4.561 7.212 25.772
44 1 1 5.406 7.652 25.652
45 1 1 5.854 8.149 26.341
46 1 1 6.143 8.330 27.238
47 1 1 6.445 9.181 27.564
48 1 1 6.316 8.713 28.393
49 1 1 6.977 8.583 27.708
50 1 1 7.863 8.515 27.346
51 1 1 8.068 9.132 26.639
52 1 1 8.493 8.787 25.850
53 1 1 9.222 8.742 25.228
54 1 1 8.920 8.564 24.334
55 1 1 9.131 9.500 24.354
56 1 1 8.860 10.138 23.690
57 1 1 8.715 10.999 24.089
